Category: All categories

Week,Ethical Fashion: (United Kingdom),Greenwashing: (United Kingdom),Sustainable Fashion: (United Kingdom),Fast Fashion: (United Kingdom)
2017-01-01,6,2,9,15
2017-01-08,7,6,10,25
2017-01-15,11,5,8,21
2017-01-22,10,7,10,17
2017-01-29,7,0,7,7
2017-02-05,12,3,10,21
2017-02-12,10,3,9,19
2017-02-19,13,12,11,29
2017-02-26,11,1,13,25
2017-03-05,15,4,19,15
2017-03-12,12,9,14,38
2017-03-19,10,9,7,26
2017-03-26,4,2,11,25
2017-04-02,13,2,11,22
2017-04-09,9,3,15,13
2017-04-16,13,2,6,23
2017-04-23,18,4,15,32
2017-04-30,13,9,14,35
2017-05-07,17,11,17,30
2017-05-14,10,0,10,25
2017-05-21,7,6,11,15
2017-05-28,15,5,6,15
2017-06-04,9,2,13,26
2017-06-11,9,6,13,21
2017-06-18,4,2,3,38
2017-06-25,6,3,7,31
2017-07-02,6,3,5,27
2017-07-09,1,0,4,12
2017-07-16,7,2,7,22
2017-07-23,12,0,3,17
2017-07-30,11,2,9,30
2017-08-06,3,0,6,29
2017-08-13,6,5,7,18
2017-08-20,4,2,7,32
2017-08-27,4,0,13,22
2017-09-03,9,2,6,20
2017-09-10,4,0,10,27
2017-09-17,1,2,6,24
2017-09-24,8,3,14,18
2017-10-01,7,0,24,18
2017-10-08,15,3,13,28
2017-10-15,18,3,15,16
2017-10-22,8,3,11,30
2017-10-29,12,1,15,12
2017-11-05,12,7,18,24
2017-11-12,14,4,15,18
2017-11-19,10,7,16,41
2017-11-26,14,4,11,32
2017-12-03,14,4,17,33
2017-12-10,11,1,15,24
2017-12-17,6,2,6,17
2017-12-24,6,2,6,17
2017-12-31,10,3,11,18
2018-01-07,12,4,7,20
2018-01-14,9,6,10,30
2018-01-21,12,7,8,20
2018-01-28,8,1,15,25
2018-02-04,16,1,8,15
2018-02-11,15,0,16,22
2018-02-18,15,3,12,27
2018-02-25,14,1,10,24
2018-03-04,8,4,16,17
2018-03-11,8,6,16,34
2018-03-18,8,1,20,19
2018-03-25,10,3,15,18
2018-04-01,15,1,6,28
2018-04-08,11,4,16,27
2018-04-15,14,7,19,42
2018-04-22,16,4,20,33
2018-04-29,19,4,15,24
2018-05-06,16,7,14,19
2018-05-13,17,7,18,22
2018-05-20,12,7,20,20
2018-05-27,11,4,14,12
2018-06-03,8,1,8,10
2018-06-10,8,1,12,13
2018-06-17,8,1,12,19
2018-06-24,6,0,8,18
2018-07-01,4,1,14,5
2018-07-08,10,0,11,16
2018-07-15,7,3,10,15
2018-07-22,13,0,12,18
2018-07-29,8,1,7,17
2018-08-05,3,4,12,30
2018-08-12,6,0,12,25
2018-08-19,7,3,6,27
2018-08-26,3,1,15,18
2018-09-02,8,4,17,14
2018-09-09,4,3,12,19
2018-09-16,8,1,23,26
2018-09-23,8,1,15,21
2018-09-30,7,1,19,19
2018-10-07,15,1,74,57
2018-10-14,14,4,34,51
2018-10-21,23,10,36,53
2018-10-28,1,4,22,48
2018-11-04,19,3,36,44
2018-11-11,14,10,17,31
2018-11-18,12,3,17,34
2018-11-25,14,4,49,45
2018-12-02,22,8,28,40
2018-12-09,9,7,15,36
2018-12-16,15,1,23,31
2018-12-23,3,3,5,22
2018-12-30,16,0,20,25
2019-01-06,4,1,28,35
2019-01-13,11,4,26,41
2019-01-20,11,1,23,41
2019-01-27,4,4,27,26
2019-02-03,12,3,26,45
2019-02-10,10,3,29,39
2019-02-17,17,5,41,61
2019-02-24,8,12,26,45
2019-03-03,17,13,42,47
2019-03-10,7,12,41,37
2019-03-17,8,14,33,56
2019-03-24,11,3,32,47
2019-03-31,10,15,19,31
2019-04-07,18,4,32,42
2019-04-14,12,6,19,40
2019-04-21,21,11,37,42
2019-04-28,16,7,26,32
2019-05-05,14,8,33,38
2019-05-12,15,12,42,42
2019-05-19,15,5,23,31
2019-05-26,7,4,14,14
2019-06-02,12,5,22,29
2019-06-09,11,3,30,28
2019-06-16,5,4,38,43
2019-06-23,12,1,23,34
2019-06-30,11,4,21,32
2019-07-07,11,5,22,38
2019-07-14,8,4,32,25
2019-07-21,3,4,22,27
2019-07-28,3,10,14,37
2019-08-04,16,3,21,52
2019-08-11,11,4,23,31
2019-08-18,4,4,41,47
2019-08-25,12,4,32,26
2019-09-01,13,7,36,27
2019-09-08,11,8,19,43
2019-09-15,8,5,42,48
2019-09-22,8,4,35,49
2019-09-29,12,10,47,70
2019-10-06,10,4,53,74
2019-10-13,12,11,39,66
2019-10-20,11,12,32,48
2019-10-27,4,13,31,50
2019-11-03,11,16,57,43
2019-11-10,9,14,58,53
2019-11-17,3,12,38,57
2019-11-24,11,13,40,51
2019-12-01,16,16,44,68
2019-12-08,8,7,32,42
2019-12-15,11,10,22,25
2019-12-22,9,1,15,30
2019-12-29,4,5,20,36
2020-01-05,9,13,41,63
2020-01-12,11,9,36,56
2020-01-19,2,9,28,42
2020-01-26,9,13,47,55
2020-02-02,6,13,42,56
2020-02-09,6,15,38,58
2020-02-16,7,15,35,62
2020-02-23,5,12,33,52
2020-03-01,7,14,41,62
2020-03-08,8,12,42,61
2020-03-15,9,12,15,32
2020-03-22,4,11,27,34
2020-03-29,6,4,24,45
2020-04-05,7,10,24,42
2020-04-12,10,4,31,40
2020-04-19,13,9,41,65
2020-04-26,23,11,29,46
2020-05-03,10,8,36,58
2020-05-10,20,4,34,43
2020-05-17,4,9,33,65
2020-05-24,10,4,31,55
2020-05-31,8,10,33,47
2020-06-07,13,9,36,62
2020-06-14,9,5,34,58
2020-06-21,14,7,35,44
2020-06-28,16,3,51,70
2020-07-05,21,9,44,83
2020-07-12,18,7,42,53
2020-07-19,11,7,40,50
2020-07-26,7,11,23,45
2020-08-02,11,2,31,46
2020-08-09,13,6,26,50
2020-08-16,7,8,31,54
2020-08-23,9,9,37,56
2020-08-30,4,6,40,42
2020-09-06,11,2,25,40
2020-09-13,6,8,32,58
2020-09-20,13,9,41,40
2020-09-27,8,10,39,54
2020-10-04,10,14,45,52
2020-10-11,13,14,37,53
2020-10-18,13,16,40,61
2020-10-25,10,11,37,56
2020-11-01,6,15,34,62
2020-11-08,10,10,36,57
2020-11-15,7,19,38,66
2020-11-22,13,10,47,100
2020-11-29,9,15,46,86
2020-12-06,4,10,35,67
2020-12-13,5,12,33,51
2020-12-20,7,4,16,38
2020-12-27,11,9,38,45
